,cell_specimen_id,rheobase_sweep_num,thumbnail_sweep_num,vrest,ri,sag,tau,vm_for_sag,f_i_curve_slope,adaptation,latency,avg_isi,upstroke_downstroke_ratio_long_square,peak_v_long_square,peak_t_long_square,trough_v_long_square,trough_t_long_square,fast_trough_v_long_square,fast_trough_t_long_square,slow_trough_v_long_square,slow_trough_t_long_square,threshold_v_long_square,threshold_i_long_square,threshold_t_long_square,upstroke_downstroke_ratio_ramp,peak_v_ramp,peak_t_ramp,trough_v_ramp,trough_t_ramp,fast_trough_v_ramp,fast_trough_t_ramp,slow_trough_v_ramp,slow_trough_t_ramp,threshold_v_ramp,threshold_i_ramp,threshold_t_ramp,upstroke_downstroke_ratio_short_square,peak_v_short_square,peak_t_short_square,trough_v_short_square,trough_t_short_square,fast_trough_v_short_square,fast_trough_t_short_square,slow_trough_v_short_square,slow_trough_t_short_square,threshold_v_short_square,threshold_i_short_square,threshold_t_short_square
0,718476740,16,19,-74.37658,92.96874701976776,0.10252223,7.831730375978596,-81.65626,0.1086206896551725,0.1529596302819028,0.03036,35.78,1.4878752057922848,16.406251907348633,0.55574,-52.59375381469727,0.55682,-52.53125381469727,0.5568000000000001,,,-28.968751907348636,360.0,0.5553600000000001,,,,,,,,,,,,,1.6774549517131745,10.78125,0.50352,-74.78125,0.8288900000000001,-60.234375,0.50491,,,-41.0625,840.0,0.50319
0,718492407,14,17,-52.64713,225.00017285346985,0.053767208,30.49109725301935,-69.53126,0.3000000114440863,0.0140192995494401,0.0735799999999999,66.17076923076922,2.62038400539471,38.53125,0.76532,-38.375,0.76834,-38.03125,0.76756,,,-22.031251907348636,80.0,0.76478,2.605818802856834,43.19792,3.90386,-38.583332,3.906406666666667,-38.34375,3.90604,,,-19.947916,85.166664,3.9033600000000006,2.2352333046362705,36.104168,0.5035933333333333,-52.65625,1.2651266666666665,-44.208332,0.5057333333333333,,,-22.114584,630.0,0.50316
0,718494231,17,19,-74.22902,94.53143924474716,0.0738714,8.960562927468455,-81.03126,0.0766355140186914,0.0911281166732932,0.02144,32.34000000000001,1.5935925472952068,21.406251907348636,0.539,-55.90625,0.54006,-55.78125381469727,0.53996,,,-33.0,330.0,0.53866,,,,,,,,,,,,,1.7247953836398966,20.375,0.50356,-74.34376,0.71268,-59.51563,0.50467,,,-43.25,830.0,0.50322
0,718552831,14,15,-68.07862,164.53129053115845,0.050228197,11.290731879409718,-87.28126,0.1007142857142858,0.2496779180623543,0.0218,38.81000000000001,2.000883265451986,23.437501907348636,0.5492600000000001,-50.06250381469727,0.5506800000000001,-49.96875381469727,0.5505599999999999,,,-36.84375,140.0,0.5488999999999999,1.506989372992057,20.453125,11.810109999999998,-44.45313,11.81154,-44.375,11.81147,,,-25.906252,282.8125,11.80962,1.9450537287235496,22.7,0.5034959999999999,-67.9625,1.0,-54.4375,0.5050319999999999,,,-38.79375,509.99997,0.50314
0,718564349,10,11,-78.659294,192.1873837709427,0.037494577,14.512195431437416,-101.34376,0.3785714285714286,0.4278982092365715,0.02682,42.43999999999992,2.035945872735301,20.750001907348636,0.56294,-56.81250381469727,0.5645,-56.81250381469727,0.5645,,,-39.12500381469727,110.0,0.5625,,,,,,,,,,,,,1.9134178260750296,20.979166,0.5032933333333334,-79.5,1.11434,-59.666668,0.5047866666666666,,,-39.854168,680.0,0.5029066666666667
0,718571204,15,16,-53.07881,212.6561850309372,0.24868715,20.04417369457432,-77.65626,0.2607142857142858,0.156451612903227,0.0315799999999999,37.20000000000001,2.337516103612866,49.59375381469727,0.57362,-32.46875,0.57538,-32.3125,0.5751999999999999,,,-17.0,100.0,0.57318,1.6591351489090822,41.71875,8.833939999999998,-28.328125,8.835929999999998,-28.156252,8.83568,,,-6.40625,208.4375,8.83335,2.3382122878273464,51.697918,0.5035133333333333,-54.437504,0.8302133333333334,-36.052082,0.5051866666666666,,,-23.041666,660.0,0.5031
0,718591584,10,11,-75.860855,165.156289935112,0.15086763,16.058466316072906,-95.03126,0.4500000747044956,0.0404138599091471,0.0435399999999999,42.765,1.5182306340561382,24.187501907348636,0.5804400000000001,-58.50000381469727,0.58154,-58.43750381469727,0.58148,,,-32.187503814697266,170.0,0.58006,1.4162582615835164,22.343752,11.57546,-56.71875,11.576619999999998,-56.625,11.57658,,,-28.71875,277.0,11.57506,1.596276100535568,30.5,0.5034,-75.645836,0.5992333333333333,-63.125,0.5044066666666667,,,-42.71875,740.0,0.50306
0,718594887,11,12,-69.4169,214.53139185905457,0.08854685,17.54085965685128,-94.625,0.4250000416891942,0.0236354384243228,0.02712,53.10117647058824,2.446861176889245,40.00000381469727,0.5937399999999999,-55.87500381469727,0.5955600000000001,-55.71875381469727,0.59524,,,-37.1875,90.0,0.5933200000000001,2.3651658050599345,40.5,4.70312,-55.562504,4.70484,-55.218754,4.70456,,,-35.781254,105.125,4.70268,2.3249814802222457,40.5,0.50366,-69.81251,1.47388,-58.031254,0.50498,,,-39.5,489.99997,0.50328
0,718601016,11,12,-67.013725,380.9373676776886,0.06425987,34.38534322985735,-98.4375,0.3050000000000002,0.0145702874844473,0.0375399999999999,64.2257142857143,2.3726436336192864,14.187500953674316,0.65256,-59.00000381469727,0.65636,-58.625,0.6555199999999999,,,-40.15625381469727,50.0,0.6518999999999999,2.14966962621826,4.0625005,3.47206,-52.218754,3.47624,-51.656254,3.47546,-52.21875381469727,3.47624,-34.15625,74.375,3.47128,1.7581083066435157,-8.25,0.5037733333333333,-55.1875,0.8422666666666666,-60.29687881469727,0.50756,,,-44.979168,450.0,0.5024000000000001
0,718611725,11,12,-72.09177,269.84357833862305,0.112905465,21.04532717468212,-102.28126,0.1907143017710477,0.07831723161931,0.03244,148.49666666666664,2.323163471994596,29.531251907348636,0.57958,-55.75,0.58124,-55.50000381469727,0.58098,,,-43.59375381469727,80.0,0.5791200000000001,2.108050752499941,24.625002,4.12088,-54.343754,4.13864,-53.375004,4.1223,-54.34375381469727,4.13864,-40.53125,90.625,4.12038,2.0769431928037942,23.6875,0.50366,-72.65625,0.84355,-62.17188,0.50508,,,-45.296875,499.99997,0.50324
